player	pos	team	owner
Mike Trout	LAA	OF	Life &amp; Times of Bill
Miguel Cabrera	Det	3B	(P)IMP
Ryan Braun	Mil	OF	Life &amp; Times of Bill
Robinson Cano	NYY	2B	David Estes' Testes
Matt Kemp	LAD	OF	David Estes' Testes
Andrew McCutchen	Pit	OF	David Estes' Testes
Joey Votto	Cin	1B	Khal Drogo
Carlos Gonzalez	Col	OF	Brace Land
Albert Pujols	LAA	1B	I Have AIDs
Giancarlo Stanton	Mia	OF	Mammy's Dumplings
Prince Fielder	Det	1B	8===D Tation
Jose Bautista	Tor	OF	I Have AIDs
Troy Tulowitzki	Col	SS	FA
Adrian Beltre	Tex	3B	FA
Jose Reyes	Tor	SS	Khal Drogo
Bryce Harper	Was	OF	Brace Land
Dustin Pedroia	Bos	2B	FA
Evan Longoria	TB	3B	8===D Tation
Justin Upton	Atl	OF	Honey Badgers
David Wright	NYM	3B	Khal Drogo
Josh Hamilton	LAA	OF	FA
Yoenis Cespedes	Oak	OF	8===D Tation
Ian Kinsler	Tex	2B	FA
Buster Posey	SF	C,1B	Life &amp; Times of Bill
Jason Heyward	Atl	OF	8===D Tation
Ryan Zimmerman	Was	3B	FA
Edwin Encarnacion	Tor	1B	Mammy's Dumplings
Adam Jones	Bal	OF	RIP Ralph Cifaretto
Jacoby Ellsbury	Bos	OF	Mammy's Dumplings
Jay Bruce	Cin	OF	FA
Starlin Castro	ChC	SS	Honey Badgers
B.J. Upton	Atl	OF	FA
Paul Goldschmidt	Ari	1B	(P)IMP
Billy Butler	KC	1B	(P)IMP
Allen Craig	StL	1B,OF	FA
Matt Holliday	StL	OF	FA
Adrian Gonzalez	LAD	1B,OF	FA
Ben Zobrist	TB	2B,SS,OF	FA
Pablo Sandoval	SF	3B	FA
Jason Kipnis	Cle	2B	FA
Ian Desmond	Was	SS	RIP Ralph Cifaretto
Aramis Ramirez	Mil	3B	FA
Brett Lawrie	Tor	3B	FA
Aaron Hill	Ari	2B	FA
Jimmy Rollins	Phi	SS	FA
Anthony Rizzo	ChC	1B	Brace Land
Brandon Phillips	Cin	2B	FA
